lat,lon,depth,cluster
35.157993,139.60004,14.487,25
35.157997,139.603,12.166,59
35.158,139.60005,13.602,25
35.158005,139.60008,12.894,26
35.158005,139.60033,8.742,29
35.15801,139.5997,21.001,9
35.158012,139.60008,12.176,26
35.158016,139.603,12.124,59
35.15802,139.60034,8.305,29
35.158024,139.6001,11.469,26
35.158028,139.59976,17.661,9
35.158035,139.60011,11.011,26
35.158035,139.60034,8.315,29
35.158047,139.60011,10.511,26
35.158047,139.60036,8.43,29
35.1580483125,139.5994809375,22.6123,8
35.1580483125,139.59967671875,21.80251111111111,8
35.1580483125,139.5998725,18.072483796296297,9
35.1580483125,139.60006828125,13.211607291666667,25
35.1580483125,139.6002640625,10.385895833333333,26
35.1580483125,139.60045984375,10.960941666666667,29
35.1580483125,139.60280921875,12.08783333333333,59
35.1580483125,139.603005,12.733716666666666,59
35.1580483125,139.60320078125,13.654675000000001,70
35.1580483125,139.6033965625,13.92975,71
35.1580483125,139.60359234375,11.532651162790696,73
35.1580483125,139.603788125,12.815325581395347,73
35.1580483125,139.60398390625,14.861208333333334,76
35.1580483125,139.6041796875,15.624416666666667,77
35.15806,139.60374,9.502,73
35.158062,139.60376,9.824,73
35.158066,139.60371,9.793,73
35.15807,139.60365,10.095,73
35.158073,139.6036,9.085,73
35.158073,139.60371,9.835,73
35.158077,139.60367,10.157,73
35.15808,139.6037,9.98,73
35.158085,139.60362,9.835,73
35.158085,139.60368,10.157,73
35.158085,139.60378,10.719,73
35.158096,139.60364,10.178,73
35.158108,139.60365,10.397,73
35.15811,139.59993,17.369,30
35.15811,139.60373,10.844,73
35.15811,139.60374,11.094,73
35.158115,139.60367,10.563,73
35.15812,139.59995,16.995,30
35.15812,139.60406,15.007,77
35.158127,139.59996,16.558,30
35.158127,139.60013,6.723,31
35.158127,139.60368,10.667,73
35.158127,139.60371,10.886,73
35.158127,139.60403,15.163,77
35.15813,139.59998,16.068,30
35.15813,139.6004,11.708,33
35.15814,139.59999,16.006,30
35.15814,139.60371,11.26,73
35.158142,139.6,15.673,30
35.158142,139.60371,11.406,73
35.158142,139.60403,15.538,77
35.158146,139.60011,5.859,31
35.15815,139.6004,11.656,33
35.158154,139.60002,14.809,30
35.158154,139.60312,12.978,70
35.158154,139.6037,11.687,73
35.158154,139.60371,11.718,73
35.158157,139.60403,15.777,77
35.15816,139.60004,14.382,30
35.158165,139.6004,11.791,33
35.158165,139.60313,13.3,70
35.158165,139.60365,12.01,73
35.158165,139.6037,12.062,73
35.15817,139.60005,14.382,30
35.15817,139.60385,14.164,76
35.158173,139.60373,12.259,73
35.158173,139.60403,15.819,77
35.158176,139.60365,12.114,73
35.15818,139.60008,10.511,31
35.15818,139.6004,12.103,33
35.15818,139.60315,13.54,70
35.15818,139.60368,12.364,73
35.15818,139.6038,13.519,76
35.158184,139.60403,15.735,77
35.158188,139.60316,13.54,70
35.158188,139.60365,12.28,73
35.158188,139.60374,12.624,73
35.15819,139.6004,12.832,33
35.158195,139.60008,9.918,31
35.158195,139.60318,13.54,70
35.158195,139.60368,12.551,73
35.158195,139.60403,15.725,77
35.1582,139.60365,12.561,73
35.158203,139.60016,7.493,31
35.158203,139.60017,6.858,31
35.158203,139.6004,12.936,33
35.158203,139.60321,13.748,71
35.158203,139.60374,12.967,73
35.158203,139.60405,15.767,77
35.158207,139.60367,12.655,73
35.158207,139.60408,15.642,77
35.15821,139.60008,10.012,31
35.15821,139.60367,12.717,73
35.15821,139.60405,15.808,77
35.158215,139.6002,6.702,31
35.158215,139.60323,13.977,71
35.158215,139.60374,13.082,73
35.158215,139.60406,15.6,77
35.15822,139.60042,12.603,33
35.15822,139.60368,12.78,73
35.158222,139.60367,12.978,73
35.158226,139.60042,12.676,33
35.158226,139.60326,13.997,71
35.15823,139.60043,12.905,33
35.15823,139.6037,12.821,73
35.15823,139.60374,12.967,73
35.158234,139.60365,13.134,73
35.158234,139.60371,12.998,73
35.158234,139.60373,13.019,73
35.158237,139.60327,13.997,71
35.15824,139.60045,13.123,33
35.15824,139.60373,13.279,73
35.15824,139.60382,14.611,76
35.15824,139.6041,15.912,77
35.15824409375,139.5998725,15.80466666666667,30
35.15824409375,139.60006828125,12.339055555555555,30
35.15824409375,139.6002640625,11.612533333333333,31
35.15824409375,139.60045984375,12.962830158730158,33
35.15824409375,139.600655625,13.650857142857145,35
35.15824409375,139.603005,13.3796,70
35.15824409375,139.60320078125,13.938866666666668,70
35.15824409375,139.6033965625,14.342538461538462,71
35.15824409375,139.60359234375,13.227922182468694,73
35.15824409375,139.603788125,13.61020445736434,73
35.15824409375,139.60398390625,15.269645833333332,76
35.15824409375,139.6041796875,15.981222222222222,77
35.15824409375,139.60437546875,16.212749999999996,80
35.158245,139.60045,13.29,34
35.158245,139.60362,13.269,75
35.158245,139.60393,15.798,78
35.158245,139.60408,15.964,79
35.158245,139.60411,15.912,79
35.158253,139.60046,13.206,35
35.158253,139.6033,14.299,72
35.158253,139.60376,13.54,75
35.158253,139.60413,15.923,79
35.158257,139.60007,14.976,32
35.158257,139.60031,11.115,34
35.158257,139.60048,13.144,35
35.158257,139.6036,13.342,75
35.158257,139.60408,16.006,79
35.158257,139.60414,16.048,79
35.158264,139.60048,13.404,35
35.158268,139.60332,14.455,72
35.158268,139.60359,13.852,74
35.158268,139.60378,14.091,75
35.158268,139.60408,15.964,79
35.158268,139.60416,16.058,79
35.15827,139.60007,15.35,32
35.15827,139.6005,13.821,35
35.15828,139.60051,13.789,35
35.15828,139.60379,14.622,78
35.15828,139.60408,16.027,79
35.158283,139.60008,15.725,32
35.158283,139.60052,14.049,35
35.158283,139.60335,14.591,72
35.158283,139.60358,13.966,74
35.15829,139.60042,14.008,34
35.15829,139.60054,14.143,35
35.15829,139.6038,14.872,78
35.158295,139.60356,13.935,74
35.1583,139.60008,15.611,32
35.1583,139.60336,14.684,72
35.158302,139.60382,15.246,78
35.15831,139.6001,15.038,32
35.15831,139.6034,14.788,74
35.15831,139.60355,14.101,74
35.15831,139.60384,15.402,78
35.158318,139.60341,14.955,74
35.158318,139.60384,15.558,78
35.158325,139.60353,14.58,74
35.158325,139.604,16.453,79
35.15833,139.60342,14.955,74
35.158333,139.60353,14.695,74
35.158333,139.60426,16.079,80
35.158337,139.60011,12.655,32
35.158337,139.60345,15.028,74
35.15834,139.60347,15.059,74
35.15834,139.60352,14.768,74
35.158344,139.6035,14.996,74
35.158344,139.60413,16.162,79
35.158348,139.60013,12.54,32
35.158348,139.60428,16.1,80
35.15835,139.60414,16.245,79
35.158363,139.60013,12.395,32
35.158363,139.60426,16.089,80
35.15838,139.60014,12.02,32
35.158382,139.60426,16.193,80
35.158394,139.60014,10.927,32
35.158398,139.60426,16.287,80
35.1584,139.60406,16.516,79
35.158405,139.60014,10.449,32
35.158417,139.60426,16.266,80
35.158424,139.60014,10.75,32
35.158432,139.6042,16.401,80
35.158432,139.60426,16.287,80
35.158439875,139.5998725,7.316000000000001,36
35.158439875,139.60006828125,10.942172413793104,32
35.158439875,139.6002640625,13.61727514367816,32
35.158439875,139.60045984375,14.203146825396823,34
35.158439875,139.600655625,13.650857142857145,35
35.158439875,139.60320078125,14.507249999999999,72
35.158439875,139.6033965625,14.548932692307693,72
35.158439875,139.60359234375,14.075557692307694,74
35.158439875,139.603788125,14.405083333333332,75
35.158439875,139.60398390625,15.678083333333333,78
35.158439875,139.6041796875,16.36208333333333,79
35.158439875,139.60437546875,16.489874999999998,80
35.15847,139.60002,7.316000000000001,36
35.15847,139.60019,11.031,37
35.158478,139.60011,13.467,37
35.158478,139.6002,11.25,37
35.15848,139.60013,13.134,37
35.15848,139.60014,12.499,37
35.158485,139.60022,11.666,37
35.158493,139.60016,11.729,37
35.158493,139.60023,12.488,37
35.158497,139.60008,12.062,37
35.158497,139.60017,11.604,37
35.158497,139.6002,11.822,37
35.158497,139.60022,12.114,37
35.158497,139.60023,12.707,37
35.1585,139.60019,11.947,37
35.158504,139.6001,11.947,37
35.15851,139.60011,12.301,37
35.15851,139.60019,11.999,37
35.158512,139.60013,12.665,37
35.158524,139.6002,13.175,37
35.158535,139.60022,13.977,37
35.158543,139.60022,14.164,37
35.158546,139.60426,16.693,86
35.158546,139.60432,16.589,86
35.15855,139.60023,14.278,37
35.158558,139.60025,14.32,37
35.15856,139.60428,16.641,86
35.15856,139.60434,16.62,86
35.158566,139.60027,14.924,40
35.15857,139.60028,15.236,40
35.15857,139.6042,17.005,86
35.15857,139.60428,16.651,86
35.158577,139.60031,15.6,40
35.158577,139.60434,16.578,86
35.15858,139.60428,16.693,86
35.158585,139.60033,15.86,40
35.158592,139.60426,16.839,86
35.158592,139.60434,16.766,86
35.158596,139.60033,15.985,40
35.1586,139.60426,16.859,86
35.158607,139.60034,16.651,40
35.158607,139.60435,16.776,86
35.15861,139.60426,16.859,86
35.158615,139.60011,11.437,37
35.15862,139.60008,11.812,37
35.15862,139.6001,11.469,37
35.15862,139.60013,11.333,37
35.15862,139.60036,17.14,40
35.158623,139.60425,16.953,86
35.158627,139.60013,11.812,37
35.158627,139.60435,16.662,86
35.15863,139.60007,10.709,37
35.15863,139.60037,17.838,40
35.15863,139.60423,17.088,86
35.15863565625,139.5998725,11.499675,36
35.15863565625,139.60006828125,12.334661810344828,36
35.15863565625,139.6002640625,15.190730560344827,37
35.15863565625,139.60045984375,18.19084722222222,40
35.15863565625,139.600655625,20.398458333333334,42
35.15863565625,139.60085140625,20.564115384615384,51
35.15863565625,139.6010471875,20.241901098901096,52
35.15863565625,139.60124296875,19.22951298701299,53
35.15863565625,139.60143875,18.455454545454543,54
35.15863565625,139.6041796875,16.905285714285714,86
35.15863565625,139.60437546875,16.91666106442577,86
